Apple,Amazon,Microsoft,Google,Facebook,Boeing,UNH,Goldman,MMM,Home Depot
-0.014804287,-0.009326039,0,-0.002341887,-0.00981419,-0.012086079,-0.002369426,-0.013402654,0.000392594,-0.011169621
0.012538199,-0.007809832,0.006892879,0.002736439,-0.004711951,0.00205147,-0.002025451,0.014609952,0.000112163,-0.001166039
0.006177592,0.008123085,0.007372388,-0.002030585,0.0151008,-0.005004832,-0.001189659,-0.001831458,-0.00319564,-0.007369041
0.015207265,0.006848272,0.009931942,0.013750452,0.006352533,0.003963093,0.001961874,0.025561417,0.004274424,0.00632132
0.00828064,0.000757223,0.001725337,-0.00058802,0.000878945,0.003491968,-0.006014582,0.004565449,5.60E-05,-0.005112818
0.004060185,0.002282926,0.002411441,0.003197912,-0.001596711,0.003252844,-0.002180939,0.003746352,-0.00106402,-0.000734318
-0.007444273,0.000325389,-0.00309286,0.000535515,-0.001439317,0.005702034,0.002608847,-0.0076482,0.002410626,-0.003746745
-0.000648017,0.00348703,0.004825864,0.000216627,0.000160194,0.005443046,0.00309457,0.010296534,0.012190832,0.010619225
0.002316276,0.00171154,-0.006174896,-0.002076836,-0.000160168,0.00075183,0.001752772,-0.003722703,-0.004033254,-0.003429483
0.012017037,-0.00526821,0.003106595,-0.000995849,-0.007847494,0.011720693,-0.008818656,0.014088975,0.001608835,0.003587766
-0.000913433,-0.005790592,-0.005540286,-0.006773666,-0.004842607,0.002524708,-0.00381311,0.00060373,-0.007255137,-0.006055691
-0.001462847,0.000772246,0.002089309,0.003564297,0.008678021,-0.002073978,0.004465813,0.0001209,0.009711417,-0.000587134
-0.001281765,-0.000222308,0.000695014,-0.003090066,-0.003698633,0.002078289,0.0032458,0.002354189,-0.003836197,-0.009915625
0.002566821,-0.009353038,0.000347013,-0.002675263,-0.002824679,-0.004148198,-0.000914353,0.001023646,0.002399883,0.004896163
-0.007772383,0.002865381,0.000867773,-0.004217017,0.004775041,0.004091293,0.000352057,0.000180291,-0.00300654,-0.000886066
0.003133206,0.003910613,0.003814891,-9.07E-05,0.001772058,-0.006296808,-0.000562935,-0.001082409,0.003909163,0.006502171
-0.00753317,-0.006820135,0.001036381,-0.003160297,-0.007156066,-0.006336835,-0.01506944,-0.004696563,-0.002002665,-0.008515535
-0.004258064,0.00260148,0.003796333,-0.000298896,0.003320343,-0.002325709,-0.018374269,0.003629744,0.000947486,0.002739661
-0.005856742,0.01288168,-0.002406631,0.000168967,0.008636694,-0.005639923,-0.004952731,0.000421992,-0.000946589,-0.007900867
-0.001122038,0.002977865,0.001206281,0.003391696,0.012644062,0.005066905,0.004758046,0.005422637,0.006075499,0.00654972
-0.007676405,-0.004810073,-0.003614465,-0.003962957,-0.005531887,-0.015726039,-0.002914077,0.018950775,-0.00193918,-0.003344553
0.000943343,0.00205836,-0.007427916,-0.002652536,0.002225103,-0.010396859,-0.005991026,0.00053127,-0.005051283,0.000149008
0.005937819,0.001898203,0.002262456,0.002255448,0.000396408,0.00347631,-0.002278752,-0.005605977,0.004128537,0.000820176
0.009369392,0.002361744,0.00138907,0.003486034,0.002694809,0.009699791,0.006409419,0.003976025,0.004611807,0.006853917
-0.000278486,0.021270251,-0.001040281,0.011173612,0.025452486,0.013952463,-0.004685052,0.000886811,-0.001935861,-0.007769035
0.006128093,-0.005564941,0.000867924,0.000346066,0.010175033,-0.002632,-0.00262287,0.00200759,-0.003934358,-0.00976902
-0.026208898,-0.000535364,-0.003989041,-0.006445786,-0.005951919,0.001960322,0.003333726,0.011728775,0.001947277,-0.011521815
-0.022649698,-0.030507848,-0.021243118,-0.020198155,-0.024334121,-0.032881778,-0.013437761,-0.018000578,-0.024764139,-0.026816987
0.022398885,0.014931427,0.014943969,0.012321364,0.012509866,0.012370704,0.014294348,0.01477119,0.014005892,0.006654088
0.023804883,-0.013584078,-0.009114826,-0.012132347,-0.011500528,-0.010452047,-0.011657995,-0.023734242,-0.011398094,-0.022319026
0.035386863,0.000105146,-0.004776273,0.003685698,0.004402154,-0.008465285,-0.001940999,-0.0050301,-0.00255573,0.004295247
0.033998395,0.01129955,0.016530328,0.012157563,0.004539477,0.000783218,0.014361584,0.011555246,0.005523288,0.00554407
-0.005624208,0.011472174,0.001049212,-0.003731737,0.005609669,-0.00837439,0.021089766,-0.012374981,-0.008664218,-0.006694904
-0.011660249,-0.004393007,-0.005589514,-0.004135877,-0.003254149,0.006156237,-0.005705181,0.001264891,0.00948247,0.001427346
-8.82E-05,0.006605593,-0.002107879,0.007457178,-7.77E-05,0.002431837,-0.001525402,0.001564243,0.004979619,0.004275795
-0.000175999,0.012201712,0.01672246,0.006235333,0.010105745,0.021676135,0.017749629,0.003364112,0.011204948,0.010092293
0.00942313,0.018942971,0.001038732,0.014158423,0.00107742,0.010033665,0.008076427,0.005927147,0.001447862,0.00499572
-0.01666391,0.001304819,-0.006745145,-0.000393793,-0.016297686,-0.000682466,-0.003757789,-0.017200545,-0.013678128,-0.007456395
0.001508395,-0.008178749,-0.009228429,-0.016126575,-0.00507972,-0.009181801,-0.00562235,-0.022103624,-0.008117684,-0.018311331
0.001860345,0.021209786,0.01845324,0.011366409,0.010839714,0.0057439,0.007658085,0.008731745,0.001989238,0.010920832
0.007604643,0.015451332,0.001380566,-0.001851844,0.004196084,0.00692961,-0.002698819,0.003437853,0.007316987,0.011433527
-0.015533267,0.000398225,-0.010856438,-0.008380659,-0.008821481,-0.009075073,-0.014885182,-0.027531522,-0.012500785,-0.002650767
0.007755463,0.009963223,0.003484414,0.002941856,0.001405324,0.005418679,0.012145861,0.014595883,0.004904132,0.005862618
-0.004688255,-0.000680761,-0.003125176,-0.006085219,0.003898027,0.004858098,-0.010785738,-0.001240096,-0.006752739,-0.001398774
